iter	Passed	Remaining
834	6380	1260
835	6387	1253
836	6394	1245
837	6402	1237
838	6409	1230
839	6417	1222
840	6424	1214
841	6432	1206
842	6439	1199
843	6447	1191
844	6455	1184
845	6462	1176
846	6469	1168
847	6476	1160
848	6484	1153
849	6492	1145
850	6499	1138
851	6507	1130
852	6515	1122
853	6524	1115
854	6532	1107
855	6540	1100
856	6549	1092
857	6556	1085
858	6564	1077
859	6572	1069
860	6580	1062
861	6587	1054
862	6594	1046
863	6601	1039
864	6609	1031
865	6616	1023
866	6623	1016
867	6631	1008
868	6638	1000
869	6646	993
870	6654	985
871	6662	977
872	6670	970
873	6679	962
874	6686	955
875	6693	947
876	6700	939
877	6708	932
878	6715	924
879	6724	917
880	6731	909
881	6739	901
882	6746	893
883	6753	886
884	6761	878
885	6768	870
886	6775	863
887	6783	855
888	6791	847
889	6798	840
890	6806	832
891	6813	824
892	6820	817
893	6827	809
894	6834	801
895	6842	794
896	6848	786
897	6856	778
898	6863	771
899	6872	763
900	6879	755
901	6887	748
902	6895	740
903	6903	733
904	6910	725
905	6918	717
906	6926	710
907	6933	702
908	6941	694
909	6948	687
910	6955	679
911	6963	671
912	6972	664
913	6979	656
914	6987	649
915	6994	641
916	7002	633
917	7009	626
918	7017	618
919	7024	610
920	7032	603
921	7040	595
922	7048	587
923	7056	580
924	7062	572
925	7070	565
926	7078	557
927	7085	549
928	7093	542
929	7100	534
930	7108	526
931	7116	519
932	7124	511
933	7145	504
934	7164	498
935	7179	490
936	7187	483
937	7195	475
938	7203	467
939	7210	460
940	7217	452
941	7225	444
942	7232	437
943	7240	429
944	7248	421
945	7255	414
946	7263	406
947	7271	398
948	7278	391
949	7286	383
950	7293	375
951	7300	368
952	7309	360
953	7317	352
954	7324	345
955	7332	337
956	7340	329
957	7347	322
958	7354	314
959	7362	306
960	7370	299
961	7377	291
962	7385	283
963	7392	276
964	7399	268
965	7407	260
966	7414	253
967	7421	245
968	7429	237
969	7437	230
970	7445	222
971	7453	214
972	7461	207
973	7468	199
974	7476	191
975	7484	184
976	7490	176
977	7498	168
978	7505	160
979	7513	153
980	7520	145
981	7528	137
982	7536	130
983	7544	122
984	7552	115
985	7559	107
986	7567	99
987	7574	91
988	7581	84
989	7588	76
990	7596	68
991	7604	61
992	7611	53
993	7619	45
994	7627	38
995	7634	30
996	7642	22
997	7650	15
998	7657	7
999	7665	0
